"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","transferMoneywithAmountMoreThanBalanceTest()","","Mon Dec 01 14:55:51 UTC 2025","skipped","Mon Dec 01 14:55:51 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithAmountMoreThanBalanceTest"
"","2683","createUserAccountTest()","","Mon Dec 01 14:55:47 UTC 2025","passed","Mon Dec 01 14:55:50 UTC 2025","","API.iteration1.CreateAccountTest","API.iteration1.CreateAccountTest","createUserAccountTest"
"","270","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without digits","","Mon Dec 01 14:55:51 UTC 2025","passed","Mon Dec 01 14:55:51 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","2866","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest()","","Mon Dec 01 14:55:46 UTC 2025","passed","Mon Dec 01 14:55:49 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest"
"","0","adminCanCreateUserWithCorrectDataTest()","","Mon Dec 01 14:55:49 UTC 2025","skipped","Mon Dec 01 14:55:49 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","1429","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 0.01 deposit","","Mon Dec 01 14:55:50 UTC 2025","passed","Mon Dec 01 14:55:52 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","387","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 7 characters password","","Mon Dec 01 14:55:51 UTC 2025","passed","Mon Dec 01 14:55:51 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","670","userCanGenerateAuthTokenTest()","","Mon Dec 01 14:55:49 UTC 2025","passed","Mon Dec 01 14:55:49 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","0","transferMoneyToInvalidAccountTest()","","Mon Dec 01 14:55:51 UTC 2025","skipped","Mon Dec 01 14:55:51 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyToInvalidAccountTest"
"","648","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 16 letters username","","Mon Dec 01 14:55:50 UTC 2025","passed","Mon Dec 01 14:55:50 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","4003","userDepositMoneyWithValidDatawith2DepositsTest()","","Mon Dec 01 14:55:46 UTC 2025","passed","Mon Dec 01 14:55:50 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","693","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Mon Dec 01 14:55:50 UTC 2025","passed","Mon Dec 01 14:55:50 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","transferMoneyFromInvalidAccountTest()","","Mon Dec 01 14:55:51 UTC 2025","skipped","Mon Dec 01 14:55:51 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyFromInvalidAccountTest"
"","0","changeUsersNameWithInvalidDataTest(String, String, String)","","Mon Dec 01 14:55:50 UTC 2025","skipped","Mon Dec 01 14:55:50 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
