"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without digits","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","testTransferWithFraudCheck()","","Sun Nov 30 15:15:02 UTC 2025","skipped","Sun Nov 30 15:15:02 UTC 2025","","API.TransferWithFraudCheckTest","API.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","10","userDepositMoneyWithValidDatawith2DepositsTest()","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","21","transferMoneyFromInvalidAccountTest()","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyFromInvalidAccountTest"
"","615","userDepositMoneyWithinValidAccountTest()","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidAccountTest"
"","14","transferMoneywithInvalidAmountTest(String, Double, String) transferMoneywithInvalidAmountTest(String, Double, String) amount -0.01","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","22","userDepositMoneyWithinValidBalanceDataTest(String, Double, String) userDepositMoneyWithinValidBalanceDataTest(String, Double, String) balance more than 5000","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidBalanceDataTest"
"","477","adminCanGenerateAuthTokenTest()","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","11","createUserAccountTest()","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration1.CreateAccountTest","API.iteration1.CreateAccountTest","createUserAccountTest"
"","15","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) blank username","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","1","changeUsersNameTest()","","Sun Nov 30 15:15:02 UTC 2025","skipped","Sun Nov 30 15:15:02 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameTest"
"","26","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) space in username","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","10","transferMoneyToInvalidAccountTest()","","Sun Nov 30 15:15:02 UTC 2025","broken","Sun Nov 30 15:15:02 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyToInvalidAccountTest"
"","11","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid role","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","7","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 0.01 deposit","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","17","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","18","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 5000 deposit","","Sun Nov 30 15:15:03 UTC 2025","broken","Sun Nov 30 15:15:03 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
