"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","826","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Sun Nov 30 15:25:42 UTC 2025","passed","Sun Nov 30 15:25:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","388","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid symbol in username","","Sun Nov 30 15:25:42 UTC 2025","passed","Sun Nov 30 15:25:43 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","changeUsersNameTest()","","Sun Nov 30 15:25:38 UTC 2025","skipped","Sun Nov 30 15:25:38 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameTest"
"","1566","transferMoneywithInvalidAmountTest(String, Double, String) transferMoneywithInvalidAmountTest(String, Double, String) amount 0","","Sun Nov 30 15:25:47 UTC 2025","passed","Sun Nov 30 15:25:48 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","3705","changeUsersNameWithInvalidDataTest(String, String, String) changeUsersNameWithInvalidDataTest(String, String, String) one word","","Sun Nov 30 15:25:38 UTC 2025","passed","Sun Nov 30 15:25:42 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
"","2629","transferMoneywithInvalidAmountTest(String, Double, String) transferMoneywithInvalidAmountTest(String, Double, String) amount more than 10000","","Sun Nov 30 15:25:43 UTC 2025","passed","Sun Nov 30 15:25:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","1","testTransferWithFraudCheck()","","Sun Nov 30 15:25:38 UTC 2025","skipped","Sun Nov 30 15:25:38 UTC 2025","","API.TransferWithFraudCheckTest","API.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","1555","transferMoneyFromInvalidAccountTest()","","Sun Nov 30 15:25:43 UTC 2025","passed","Sun Nov 30 15:25:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyFromInvalidAccountTest"
"","1832","transferMoneywithAmountMoreThanBalanceTest()","","Sun Nov 30 15:25:46 UTC 2025","passed","Sun Nov 30 15:25:48 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithAmountMoreThanBalanceTest"
"","1252","changeUsersNameWithInvalidDataTest(String, String, String) changeUsersNameWithInvalidDataTest(String, String, String) using special charactrs","","Sun Nov 30 15:25:42 UTC 2025","passed","Sun Nov 30 15:25:43 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
