"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","779","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) blank username","","Mon Dec 01 14:45:38 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","888","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 4999.99 deposit","","Mon Dec 01 14:45:40 UTC 2025","passed","Mon Dec 01 14:45:41 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","5232","transferMoneyBetweenDifferentUsersAccounts()","","Mon Dec 01 14:45:34 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenDifferentUsersAccounts"
"","0","changeUsersNameWithInvalidDataTest(String, String, String)","","Mon Dec 01 14:45:35 UTC 2025","skipped","Mon Dec 01 14:45:35 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
"","1","testTransferWithFraudCheck()","","Mon Dec 01 14:45:34 UTC 2025","skipped","Mon Dec 01 14:45:34 UTC 2025","","API.TransferWithFraudCheckTest","API.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","257","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 7 characters password","","Mon Dec 01 14:45:40 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","2452","adminCanGenerateAuthTokenTest()","","Mon Dec 01 14:45:35 UTC 2025","passed","Mon Dec 01 14:45:37 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","0","transferMoneyFromInvalidAccountTest()","","Mon Dec 01 14:45:39 UTC 2025","skipped","Mon Dec 01 14:45:39 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyFromInvalidAccountTest"
"","342","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without digits","","Mon Dec 01 14:45:40 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","284","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid symbol in username","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","1478","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 0.01 deposit","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","1","transferMoneywithAmountMoreThanBalanceTest()","","Mon Dec 01 14:45:39 UTC 2025","skipped","Mon Dec 01 14:45:39 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithAmountMoreThanBalanceTest"
"","288","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without special symbol","","Mon Dec 01 14:45:40 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","769","userCanGenerateAuthTokenTest()","","Mon Dec 01 14:45:37 UTC 2025","passed","Mon Dec 01 14:45:38 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","1635","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) space in username","","Mon Dec 01 14:45:37 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","4073","userDepositMoneyWithValidDatawith2DepositsTest()","","Mon Dec 01 14:45:35 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","0","transferMoneyToInvalidAccountTest()","","Mon Dec 01 14:45:39 UTC 2025","skipped","Mon Dec 01 14:45:39 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyToInvalidAccountTest"
"","359","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) empty password","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","394","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without lowercase","","Mon Dec 01 14:45:40 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","3392","transferMoneyBetweenUsersAccountsTest()","","Mon Dec 01 14:45:35 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenUsersAccountsTest"
"","4","userDepositMoneyWithinValidAccountTest()","","Mon Dec 01 14:45:34 UTC 2025","skipped","Mon Dec 01 14:45:34 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidAccountTest"
"","240","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","304","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without uppercase","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","1112","createUserAccountTest()","","Mon Dec 01 14:45:38 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration1.CreateAccountTest","API.iteration1.CreateAccountTest","createUserAccountTest"
"","0","userDepositMoneyWithinValidBalanceDataTest(String, Double, String)","","Mon Dec 01 14:45:39 UTC 2025","skipped","Mon Dec 01 14:45:39 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidBalanceDataTest"
"","3729","changeUsersNameTest()","","Mon Dec 01 14:45:34 UTC 2025","passed","Mon Dec 01 14:45:38 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameTest"
"","1453","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 5000 deposit","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","289","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid role","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","adminCanCreateUserWithCorrectDataTest()","","Mon Dec 01 14:45:37 UTC 2025","skipped","Mon Dec 01 14:45:37 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","398","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 16 letters username","","Mon Dec 01 14:45:39 UTC 2025","passed","Mon Dec 01 14:45:39 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","transferMoneywithInvalidAmountTest(String, Double, String)","","Mon Dec 01 14:45:35 UTC 2025","skipped","Mon Dec 01 14:45:35 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","2860","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest()","","Mon Dec 01 14:45:34 UTC 2025","passed","Mon Dec 01 14:45:37 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest"
