"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","398","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid role","","Mon Dec 01 15:02:50 UTC 2025","passed","Mon Dec 01 15:02:51 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","4511","userDepositMoneyWithValidDatawith2DepositsTest()","","Mon Dec 01 15:02:45 UTC 2025","passed","Mon Dec 01 15:02:50 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","1217","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 4999.99 deposit","","Mon Dec 01 15:02:51 UTC 2025","passed","Mon Dec 01 15:02:52 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","0","adminCanCreateUserWithCorrectDataTest()","","Mon Dec 01 15:02:49 UTC 2025","skipped","Mon Dec 01 15:02:49 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","859","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 16 letters username","","Mon Dec 01 15:02:49 UTC 2025","passed","Mon Dec 01 15:02:50 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","transferMoneywithInvalidAmountTest(String, Double, String)","","Mon Dec 01 15:02:51 UTC 2025","skipped","Mon Dec 01 15:02:51 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","266","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without digits","","Mon Dec 01 15:02:51 UTC 2025","passed","Mon Dec 01 15:02:51 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","1169","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) blank username","","Mon Dec 01 15:02:49 UTC 2025","passed","Mon Dec 01 15:02:50 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","5693","transferMoneyBetweenDifferentUsersAccounts()","","Mon Dec 01 15:02:45 UTC 2025","passed","Mon Dec 01 15:02:51 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenDifferentUsersAccounts"
"","404","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid symbol in username","","Mon Dec 01 15:02:50 UTC 2025","passed","Mon Dec 01 15:02:51 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","400","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without special symbol","","Mon Dec 01 15:02:50 UTC 2025","passed","Mon Dec 01 15:02:51 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","2","testTransferWithFraudCheck()","","Mon Dec 01 15:02:45 UTC 2025","skipped","Mon Dec 01 15:02:45 UTC 2025","","API.TransferWithFraudCheckTest","API.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","0","changeUsersNameWithInvalidDataTest(String, String, String)","","Mon Dec 01 15:02:49 UTC 2025","skipped","Mon Dec 01 15:02:49 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
"","1299","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 0.01 deposit","","Mon Dec 01 15:02:51 UTC 2025","passed","Mon Dec 01 15:02:52 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","2498","adminCanGenerateAuthTokenTest()","","Mon Dec 01 15:02:45 UTC 2025","passed","Mon Dec 01 15:02:48 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","1595","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 5000 deposit","","Mon Dec 01 15:02:50 UTC 2025","passed","Mon Dec 01 15:02:52 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","964","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Mon Dec 01 15:02:49 UTC 2025","passed","Mon Dec 01 15:02:50 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
