"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userDepositMoneyWithinValidBalanceDataTest(String, Double, String)","","Wed Dec 03 12:51:44 UTC 2025","skipped","Wed Dec 03 12:51:44 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidBalanceDataTest"
"","2336","adminCanGenerateAuthTokenTest()","","Wed Dec 03 12:51:40 UTC 2025","passed","Wed Dec 03 12:51:43 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","3876","userDepositMoneyWithValidDatawith2DepositsTest()","","Wed Dec 03 12:51:40 UTC 2025","passed","Wed Dec 03 12:51:44 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","2474","createUserAccountTest()","","Wed Dec 03 12:51:41 UTC 2025","passed","Wed Dec 03 12:51:44 UTC 2025","","API.iteration1.CreateAccountTest","API.iteration1.CreateAccountTest","createUserAccountTest"
"","0","transferMoneywithAmountMoreThanBalanceTest()","","Wed Dec 03 12:51:45 UTC 2025","skipped","Wed Dec 03 12:51:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithAmountMoreThanBalanceTest"
"","286","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 7 characters password","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","transferMoneyToInvalidAccountTest()","","Wed Dec 03 12:51:45 UTC 2025","skipped","Wed Dec 03 12:51:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyToInvalidAccountTest"
"","1208","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 5000 deposit","","Wed Dec 03 12:51:44 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","333","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid role","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","231","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without digits","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","3473","changeUsersNameTest()","","Wed Dec 03 12:51:40 UTC 2025","passed","Wed Dec 03 12:51:44 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameTest"
"","1438","transferMoneyBetweenUsersAccountsTest()","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:46 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenUsersAccountsTest"
"","2807","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest()","","Wed Dec 03 12:51:40 UTC 2025","passed","Wed Dec 03 12:51:43 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest"
"","0","adminCanCreateUserWithCorrectDataTest()","","Wed Dec 03 12:51:43 UTC 2025","skipped","Wed Dec 03 12:51:43 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","883","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 4999.99 deposit","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:46 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","0","transferMoneyFromInvalidAccountTest()","","Wed Dec 03 12:51:45 UTC 2025","skipped","Wed Dec 03 12:51:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyFromInvalidAccountTest"
"","263","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without lowercase","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","234","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without special symbol","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","testTransferWithFraudCheck()","","Wed Dec 03 12:51:40 UTC 2025","skipped","Wed Dec 03 12:51:40 UTC 2025","","API.TransferWithFraudCheckTest","API.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","361","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) space in username","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","changeUsersNameWithInvalidDataTest(String, String, String)","","Wed Dec 03 12:51:44 UTC 2025","skipped","Wed Dec 03 12:51:44 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
"","843","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Wed Dec 03 12:51:44 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","1","userDepositMoneyWithinValidAccountTest()","","Wed Dec 03 12:51:40 UTC 2025","skipped","Wed Dec 03 12:51:40 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidAccountTest"
"","4679","transferMoneyBetweenDifferentUsersAccounts()","","Wed Dec 03 12:51:40 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenDifferentUsersAccounts"
"","221","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without uppercase","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","transferMoneywithInvalidAmountTest(String, Double, String)","","Wed Dec 03 12:51:45 UTC 2025","skipped","Wed Dec 03 12:51:45 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","923","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) blank username","","Wed Dec 03 12:51:44 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","761","userCanGenerateAuthTokenTest()","","Wed Dec 03 12:51:43 UTC 2025","passed","Wed Dec 03 12:51:44 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","693","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 16 letters username","","Wed Dec 03 12:51:44 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","325","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid symbol in username","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","1325","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) empty password","","Wed Dec 03 12:51:43 UTC 2025","passed","Wed Dec 03 12:51:45 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","994","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 0.01 deposit","","Wed Dec 03 12:51:45 UTC 2025","passed","Wed Dec 03 12:51:46 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
