"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","changeUsersNameWithInvalidDataTest(String, String, String)","","Mon Dec 01 14:28:40 UTC 2025","skipped","Mon Dec 01 14:28:40 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
"","323","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 7 characters password","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","3892","userDepositMoneyWithValidDatawith2DepositsTest()","","Mon Dec 01 14:28:37 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","1257","transferMoneyBetweenUsersAccountsTest()","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:43 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenUsersAccountsTest"
"","1378","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) empty password","","Mon Dec 01 14:28:40 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","804","userCanGenerateAuthTokenTest()","","Mon Dec 01 14:28:39 UTC 2025","passed","Mon Dec 01 14:28:40 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","283","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid role","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","953","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 4999.99 deposit","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:43 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","0","transferMoneywithInvalidAmountTest(String, Double, String)","","Mon Dec 01 14:28:42 UTC 2025","skipped","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","1038","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) blank username","","Mon Dec 01 14:28:40 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
